woods,5
clotted,5
hanging,1
woody,22
underachieve,1
canet,3
originality,2
conternos,3
still-youthful,3
marcenasco,2
pigment,1
screaming,7
wooded,2
wooden,16
wednesday,2
broiled,2
stereotypical,1
vedeau,4
south-west,2
lemon-rind,4
scrapes,2
precocity,2
gorman,1
sustaining,1
puligny-like,1
dormancy,5
tensely,2
deferred,1
cooking,7
white-flour,1
larigi,5
shocks,4
china,3
detail-oriented,1
kids,1
uplifting,10
kacher,1
viticulturist,9
cream-like,1
appropriately,6
topography,1
projection,2
lengthen,5
stern,6
virano,1
dna,3
catchy,2
inevitable,2
brangero,4
therefore,9
off-the,13
barry,2
cabernet-like,1
exuberantly,10
consciencious,1
carretals,1
brancott,6
couldn,9
locked,6
phant,1
sandier,4
expressively,4
grass-fed,2
want,125
serguier,1
absolute,19
travel,1
copious,80
gramolere,5
cammatta,1
untuously-textured,1
assimilated,8
stoller,4
modest,107
dauvergne,2
tomato-based,3
assimilates,1
18th,8
mind-bogglingly,1
chandon,1
copius,1
snugly,1
welcomed,1
aromatically,66
foreau,4
grapeskin,1
partnered,4
bomb-like,1
rewarded,18
activating,1
welcomes,2
fit,18
lifeline,2
bringing,14
fix,1
nenin,4
fig,419
per-ton,1
fin,1
caramels,1
top-quality,3
morellino,7
effects,7
multidimensional,50
undeveloped,2
giusti,3
lucere,3
giusto,1
vilot,1
barton,2
averse,1
strawberry-inflected,1
arroz,1
liquorice-flavoured,1
tantalisingly,1
grapefruits,4
melting,3
grapefruity,2
mason,3
encourage,4
unspittable,2
lower-than,1
abbott,3
negociant,23
estimate,3
universally,2
chlorine,2
competes,3
warm-vintage,1
disturbed,1
breed,13
cherrry,1
brezza,10
renovated,3
service,22
smaller-scaled,3
zinfandel,636
needed,19
mind-boggling,19
master,24
pison,3
critter,1
genesis,1
vinify,2
rewards,4
barsac-like,5
orange-blossom,5
pauillacs,1
positively,26
mouth-feel,7
soldaat,4
friend,16
feeling,21
spectrum,53
bogan,2
brawny,29
sailed,1
dozen,32
2000-2025,2
wholesome,1
2000-2020,2
achievement,12
ultradark,1
vgv,2
over-enthusiasm,1
45th,1
committing,2
diminishing,1
cinematic,1
resonates,10
disjointed,20
lychee-nut,1
mouth,1008
resonated,1
bradford,2
singer,1
nettle,8
malo-lactic,2
singed,88
scream,1
saying,9
14-16,2
fennel,62
tempted,10
thai,17
chevillon,1
bliss,1
rich,3115
crispcharacter,1
true-to,1
rice,2
faury,1
puckery,4
plate,9
7-15,1
1354-1362,1
7-10,17
platt,7
clumsiness,1
altogether,12
young-vines,4
plum-flavoured,1
nicely,1031
boarder,2
patch,4
ronze,1
counter-intuitively,1
heirloom,4
clarified,4
sensitivity,1
barahonda,2
pinot,1302
pinos,11
pinor,1
clarifies,1
playfulness,1
lots,889
letting,15
extend,25
nature,41
densely-packed,1
lapping,1
cut,429
graphite-filled,2
gobble,1
airflow,2
well-muscled,2
veer,3
corton-charlemagne,11
incense,375
southeastern,9
mortified,1
padthaway,4
basque,2
tropical-infused,1
puech,1
union,1
pumpovers,5
broad-textured,2
much,808
sommelier,11
premier,32
retrospect,1
spit,4
dave,5
spin,3
cul,1
confiance,2
professionally,9
shafers,3
sobranie,1
majority-cabernet,1
elaborate,3
saltiness,2
counterpointed,2
verges,11
eighteen,8
mirabelle,25
hyperdrive,2
memorial,1
petal-accented,1
portobello,2
zuchinni-carrot,1
split,5
briney,1
boiled,1
effortlessly,98
baudry,4
well-composed,4
frenchmen,3
richebourg,2
supper,2
featherweight,1
academic,1
corporate,1
plaque,1
cranberry-accented,1
bellos,2
homogeneity,1
ham,9
had,261
hay,23
beloved,5
has,3660
hat,2
confection,5
siesta,1
unequivocally,1
otherworldly,2
indicative,6
h-toned,1
shadow,4
alice,1
merryvale,1
unabashedly,4
beneficial,4
trudie,4
crowd,28
crown,8
topping,2
azienda,6
tannin-firmed,2
25-45,1
52nd,1
25-40,2
perchance,1
seguin-moreau,3
bottom,20
low-yielding,13
smith-haut,2
binder,1
starring,3
anagram,1
1991-93,1
benches,2
well-toned,2
valleys,22
marshals,1
mangos,3
calaveras,1
shoots,6
appealingly,41
well-buffered,2
altitude,23
tame,14
schramsberg,7
greatness,26
music,3
perfumes,24
perfumey,2
denoting,1
verde,1
perfumed,756
congratulations,3
rippling,2
unanimous,1
earthy-styled,1
strawberries-apples,1
pear-centered,1
eventual,1
role,25
rolf,1
macaroon,1
free-run,6
roll,28
palms,12
transported,1
intent,6
smelling,12
variable,5
lamblike,1
loren,1
